# @PLN154 phase 0 evidence — every opcode that wrote the stack store by a route other
# than put_stack, over 1106 corpus programs.  opcode<TAB>bytes<TAB>ops<TAB>programs
OpConstText	751138	112369	1095
OpPutRef	747989	278155	862
OpPutInt	745059	590902	854
OpReturn	536213	160266	924
OpDatabase	493994	115329	944
OpInitRefSentinel	480548	109470	811
OpInitRef	310153	78274	827
OpFreeText	215038	26897	973
OpAppendText	208724	63105	932
OpInitCreateStack	162389	48094	620
OpInitText	68006	22947	987
OpBindOrCopy	64986	14713	69
OpFormatInt	58506	37960	737
OpStaticCall	53735	17629	201
OpAppendStackText	36519	8641	216
OpClearText	29979	29979	219
OpStep	15903	8114	81
OpFormatText	15582	4135	651
OpPutCharacter	11451	11241	77
OpSetByte	6360	6360	225
OpRemove	5701	1100	17
OpCoroutineNext	5560	870	27
OpPutFloat	4587	2283	113
OpPutFnRef	4489	1037	107
OpFormatDatabase	3083	568	73
OpFormatStackText	2017	762	48
OpPutText	1961	359	40
OpFormatStackInt	1932	778	56
OpGetFileText	1769	221	17
OpFormatFloat	1694	403	98
OpPutBool	1623	1623	139
OpCoroutineYield	1456	554	27
OpPutSingle	1253	884	34
OpFormatStackDatabase	506	64	7
OpAppendCharacter	465	124	32
OpFormatSingle	392	228	27
OpSetStackRef	382	213	20
OpAppendStackCharacter	295	78	7
OpReadFile	290	69	11
OpClearStackText	234	234	19
OpPutEnum	166	166	43
OpFormatStackFloat	128	45	7
OpCoroutineReturn	123	55	11
OpSetInt	51	47	16
OpCopyRefOrNull	38	9	7
OpSetSingle	10	5	2
OpSetBoolean	8	8	2
OpSetFloat	6	3	2
OpSetCharacter	5	5	2
OpSetEnum	2	2	1
OpFormatStackSingle	2	1	1
