# Generated by scripts/check_doc_drift.sh write-examples-index (@PLN141) — DO NOT EDIT.
# Regenerate: make examples-index    Verified in CI: check_doc_drift.sh examples-index
# Every worked-example tag defined in this repo: where it lives + its git blob link.
# tag	file:line	fn	blob_url
@ACR-001	lib/audience_crystal/tests/01-editor-helpers.loft:12	test_pick_roundtrip	https://github.com/loft-lang/loft/blob/main/lib/audience_crystal/tests/01-editor-helpers.loft#L12
@ACR-002	lib/audience_crystal/tests/01-editor-helpers.loft:30	test_mesh_to_lines	https://github.com/loft-lang/loft/blob/main/lib/audience_crystal/tests/01-editor-helpers.loft#L30
@ACR-003	lib/audience_crystal/tests/01-editor-helpers.loft:49	test_erase_shrinks	https://github.com/loft-lang/loft/blob/main/lib/audience_crystal/tests/01-editor-helpers.loft#L49
@EHK-001	tools/audience-demo/server_kernel.loft:140	main	https://github.com/loft-lang/loft/blob/main/tools/audience-demo/server_kernel.loft#L140
@EHK-002	tools/audience-demo/server_kernel.loft:105	handle_message	https://github.com/loft-lang/loft/blob/main/tools/audience-demo/server_kernel.loft#L105
@EHK-003	tools/audience-demo-50/probe_server_kernel.loft:140	main	https://github.com/loft-lang/loft/blob/main/tools/audience-demo-50/probe_server_kernel.loft#L140
@EHK-004	tools/audience-demo-50/probe_client_kernel.loft:81	main	https://github.com/loft-lang/loft/blob/main/tools/audience-demo-50/probe_client_kernel.loft#L81
@FTR-001	tests/scripts/947-feature-worked-examples.loft:15	test_store_reclaim_leaves_a_growth_reserve_the_report_does_not_show	https://github.com/loft-lang/loft/blob/main/tests/scripts/947-feature-worked-examples.loft#L15
@FTR-002	tests/scripts/947-feature-worked-examples.loft:62	test_what_reclaim_gives_back_depends_on_where_you_dropped	https://github.com/loft-lang/loft/blob/main/tests/scripts/947-feature-worked-examples.loft#L62
@FTR-003	tests/scripts/947-feature-worked-examples.loft:164	test_a_parameter_is_a_link_unless_it_is_a_scalar	https://github.com/loft-lang/loft/blob/main/tests/scripts/947-feature-worked-examples.loft#L164
@FTR-004	tests/scripts/947-feature-worked-examples.loft:245	test_a_capture_shares_a_store_and_snapshots_a_scalar	https://github.com/loft-lang/loft/blob/main/tests/scripts/947-feature-worked-examples.loft#L245
@FTR-005	tests/scripts/947-feature-worked-examples.loft:321	test_arithmetic_safety_answers_null_for_integers_and_infinity_for_floats	https://github.com/loft-lang/loft/blob/main/tests/scripts/947-feature-worked-examples.loft#L321
@FTR-006	tests/scripts/947-feature-worked-examples.loft:390	test_which_field_modifiers_constrain	https://github.com/loft-lang/loft/blob/main/tests/scripts/947-feature-worked-examples.loft#L390
@FTR-007	tests/scripts/947-feature-worked-examples.loft:450	test_what_the_default_fallback_falls_back_to	https://github.com/loft-lang/loft/blob/main/tests/scripts/947-feature-worked-examples.loft#L450
@GIT-001	tools/indexer/src/scan.loft:61	indexable_files	https://github.com/loft-lang/loft/blob/main/tools/indexer/src/scan.loft#L61
@GIT-002	tools/viewer/refresh.loft:48	branch_state	https://github.com/loft-lang/loft/blob/main/tools/viewer/refresh.loft#L48
@GIT-003	tools/viewer/refresh.loft:88	commits_state	https://github.com/loft-lang/loft/blob/main/tools/viewer/refresh.loft#L88
@GIT-004	tools/viewer/refresh.loft:65	changed_state	https://github.com/loft-lang/loft/blob/main/tools/viewer/refresh.loft#L65
@GIT-005	tools/viewer/refresh.loft:121	write_commit_diffs	https://github.com/loft-lang/loft/blob/main/tools/viewer/refresh.loft#L121
@LEX-001	lib/parser.loft:178	function	https://github.com/loft-lang/loft/blob/main/lib/parser.loft#L178
@LEX-002	lib/parser.loft:329	object	https://github.com/loft-lang/loft/blob/main/lib/parser.loft#L329
@STD-001	tests/scripts/945-stdlib-worked-examples.loft:13	test_starts_with_at_scans_a_token	https://github.com/loft-lang/loft/blob/main/tests/scripts/945-stdlib-worked-examples.loft#L13
@STD-002	tests/scripts/945-stdlib-worked-examples.loft:23	test_chr_builds_text_from_a_code_point	https://github.com/loft-lang/loft/blob/main/tests/scripts/945-stdlib-worked-examples.loft#L23
@STD-003	tests/scripts/945-stdlib-worked-examples.loft:33	test_join_builds_a_delimited_line	https://github.com/loft-lang/loft/blob/main/tests/scripts/945-stdlib-worked-examples.loft#L33
@STD-004	tests/scripts/945-stdlib-worked-examples.loft:41	test_min_of_max_of_are_null_on_empty	https://github.com/loft-lang/loft/blob/main/tests/scripts/945-stdlib-worked-examples.loft#L41
@STD-005	tests/scripts/945-stdlib-worked-examples.loft:51	test_sum_takes_an_identity	https://github.com/loft-lang/loft/blob/main/tests/scripts/945-stdlib-worked-examples.loft#L51
@STD-006	tests/scripts/445-generic-tree-walk.loft:80	test_stdlib_tree_walk_level_order	https://github.com/loft-lang/loft/blob/main/tests/scripts/445-generic-tree-walk.loft#L80
@STD-007	tests/scripts/945-stdlib-worked-examples.loft:66	test_json_parse_navigates_and_extracts	https://github.com/loft-lang/loft/blob/main/tests/scripts/945-stdlib-worked-examples.loft#L66
@STD-008	tests/scripts/945-stdlib-worked-examples.loft:82	test_json_builders_compose_and_serialise	https://github.com/loft-lang/loft/blob/main/tests/scripts/945-stdlib-worked-examples.loft#L82
@STD-009	tests/scripts/945-stdlib-worked-examples.loft:98	test_struct_json_round_trip	https://github.com/loft-lang/loft/blob/main/tests/scripts/945-stdlib-worked-examples.loft#L98
@STD-010	tests/scripts/562-file-read-missing-null.loft:10	test	https://github.com/loft-lang/loft/blob/main/tests/scripts/562-file-read-missing-null.loft#L10
@STD-011	tests/scripts/946-stdlib-file-worked-examples.loft:15	test_lines_normalises_crlf	https://github.com/loft-lang/loft/blob/main/tests/scripts/946-stdlib-file-worked-examples.loft#L15
@STD-012	tests/scripts/946-stdlib-file-worked-examples.loft:29	test_fileresult_classifies_a_mutation	https://github.com/loft-lang/loft/blob/main/tests/scripts/946-stdlib-file-worked-examples.loft#L29
